timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1717466400000,69215.41,69306.67,69080.8,69139.57,426.69517,1717469999999,29523832.1177561,23387,197.93898,13697215.5926965,0
1717470000000,69139.58,69370.01,69114.98,69170.22,388.66215,1717473599999,26911281.7569684,22271,202.43012,14016349.8679455,0
1717473600000,69170.22,69268.27,69057.12,69061.22,385.62215,1717477199999,26683197.6059685,22358,201.32168,13931264.731935,0
1717477200000,69061.22,69156.16,68914.28,68956.01,450.12894,1717480799999,31077004.4328706,22604,195.34404,13487500.2939725,0
1717480800000,68956.01,69039.71,68745.68,68905.43,1152.10393,1717484399999,79360943.0775193,44777,562.98366,38777249.027645,0
1717484400000,68905.43,69074.82,68894.21,69013.63,562.89903,1717487999999,38846405.4712068,25983,306.11049,21124782.1682992,0
1717488000000,69013.62,69191.99,68827.0,68836.54,719.36611,1717491599999,49655592.5536423,35095,297.66407,20549869.186883,0
1717491600000,68836.54,68890.01,68567.32,68717.92,1253.78456,1717495199999,86153583.9858673,47354,537.03696,36901676.2685238,0
1717495200000,68717.92,68958.0,68701.83,68890.66,651.64527,1717498799999,44861843.161562,51841,385.23488,26519233.3823134,0
1717498800000,68890.66,69030.0,68841.87,68955.85,518.48705,1717502399999,35738993.255618,34649,222.8336,15358907.2838532,0
1717502400000,68955.84,69155.5,68843.73,68946.56,981.79689,1717505999999,67736774.82053,42519,488.2531,33683139.4439539,0
1717506000000,68946.56,69830.75,68946.55,69527.99,2310.51288,1717509599999,160527442.0797367,94377,1237.04889,85939782.4523306,0
1717509600000,69527.99,70089.99,69319.79,69651.49,3400.63908,1717513199999,237202758.1391326,136352,1682.35904,117365487.9606056,0
1717513200000,69651.49,70480.0,69463.83,70445.0,3308.73493,1717516799999,231850900.5457166,114712,1737.74586,121794116.2139209,0
1717516800000,70445.0,70999.0,70388.17,70800.0,3577.03841,1717520399999,252960425.8329,188513,1911.62556,135163675.6831292,0
1717520400000,70800.0,70833.52,70360.4,70564.0,1477.20962,1717523999999,104273859.9039808,52269,667.35712,47109631.4623064,0
1717524000000,70564.01,71063.45,70564.0,70693.67,2685.01525,1717527599999,190292861.9145502,73962,1486.11662,105335953.8562056,0
1717527600000,70693.67,70727.76,70092.5,70423.6,1513.09125,1717531199999,106535869.4513349,53097,689.91321,48564713.2178776,0
1717531200000,70423.61,70550.0,70168.67,70402.69,676.26117,1717534799999,47557871.9587697,29693,306.31789,21544329.401566,0
1717534800000,70402.69,70630.08,70340.41,70620.0,560.36634,1717538399999,39501359.4143383,23524,279.56845,19708749.6998057,0
1717538400000,70620.01,70736.0,70510.0,70561.3,756.17993,1717541999999,53406512.5755132,31197,362.51869,25601617.8312804,0
1717542000000,70561.31,70610.0,70414.9,70537.84,482.91118,1717545599999,34064445.4442985,22922,222.41045,15687485.1067635,0
1717545600000,70537.83,70900.0,70423.51,70776.0,1036.06996,1717549199999,73215789.8615304,38889,559.3603,39529511.6971342,0
1717549200000,70775.99,71275.0,70646.16,70986.3,1527.72558,1717552799999,108479039.9725089,58516,897.45938,63728365.3568619,0
1717552800000,70986.29,71140.3,70672.08,70837.96,1397.29959,1717556399999,99100809.9548218,48201,668.73523,47433214.729118,0
1717556400000,70837.96,70991.73,70768.0,70947.58,786.32991,1717559999999,55719611.7505971,30053,357.94846,25365262.1939948,0
1717560000000,70947.58,71260.0,70826.15,71168.53,1358.27161,1717563599999,96560921.6685999,49080,789.28512,56115126.3767831,0
1717563600000,71168.54,71196.0,70884.61,70999.99,804.58799,1717567199999,57123889.483751,32399,366.55208,26020520.6999385,0
1717567200000,70999.99,71150.0,70850.0,71119.05,1231.70706,1717570799999,87426615.6518432,34158,582.07145,41321138.570794,0
1717570800000,71119.06,71379.21,71032.6,71200.0,1297.93292,1717574399999,92430026.2730687,47179,704.92269,50202234.6803749,0
1717574400000,71199.99,71243.6,70880.4,70927.57,1095.54386,1717577999999,77809253.3794495,35421,528.80018,37555665.9405566,0
1717578000000,70927.57,71032.08,70825.0,70894.19,758.70704,1717581599999,53809533.4732232,29514,337.77823,23959105.9563891,0
1717581600000,70894.2,70908.59,70725.03,70800.33,860.62926,1717585199999,60945338.0825121,32622,361.61768,25608761.885625,0
1717585200000,70800.33,71093.96,70694.61,70971.71,740.4467,1717588799999,52506425.0019438,33132,378.27997,26825776.0857751,0
1717588800000,70971.7,71120.0,70652.6,70940.01,1417.83072,1717592399999,100533567.4518451,49548,680.08517,48224216.3966375,0
1717592400000,70940.01,71169.99,70588.0,70730.7,1685.4948,1717595999999,119513735.287245,55324,763.6888,54161913.1628105,0
1717596000000,70730.7,71080.0,70383.66,70867.99,1853.41573,1717599599999,131106606.033986,64297,946.9994,66989414.4755524,0
1717599600000,70867.99,71731.35,70775.0,71580.0,2767.85879,1717603199999,197590036.20377168,94079,1562.361,111534276.687239,0
1717603200000,71580.01,71758.0,71268.0,71312.77,1520.33366,1717606799999,108768859.5823192,60027,678.74025,48555665.3486136,0
1717606800000,71312.78,71704.0,71231.48,71628.98,1367.90189,1717610399999,97797980.7983158,45773,682.64078,48799073.7551787,0
1717610400000,71628.98,71748.22,70895.15,71096.81,1778.53896,1717613999999,126686856.5860751,61894,822.9786,58634841.9785089,0
1717614000000,71096.8,71398.73,70871.2,71279.95,937.98536,1717617599999,66689960.8692456,41297,423.33546,30094719.1221697,0
1717617600000,71279.95,71357.68,71160.0,71196.02,699.46084,1717621199999,49831805.5916713,29828,303.70774,21635230.507456,0
1717621200000,71196.02,71211.34,71036.31,71138.42,363.26274,1717624799999,25833946.629153,20396,161.42872,11480149.6843068,0
1717624800000,71138.43,71274.11,71090.0,71144.86,381.44972,1717628399999,27151286.9458048,21427,171.91486,12236550.5494898,0
1717628400000,71144.85,71294.47,70700.0,71108.0,1034.39613,1717631999999,73441869.3343574,42061,479.54237,34043189.9497733,0
1717632000000,71108.0,71183.99,70955.99,71018.06,470.98831,1717635599999,33484118.9870511,25523,214.57174,15255606.5777315,0
1717635600000,71018.06,71189.97,70900.0,71124.0,491.92883,1717639199999,34958765.6091193,24892,212.77756,15120790.3196962,0
1717639200000,71124.01,71237.02,71103.7,71160.0,454.18419,1717642799999,32324579.8659747,22556,202.42943,14407220.7054131,0
1717642800000,71160.01,71188.0,71012.34,71050.0,421.21498,1717646399999,29948553.5896586,20844,154.60174,10991863.3041655,0
1717646400000,71050.0,71106.46,70909.7,71054.52,591.72521,1717649999999,42019609.5110946,33327,261.88207,18597165.4663985,0
1717650000000,71054.51,71084.4,70800.0,70895.45,668.78311,1717653599999,47410213.4468676,28959,277.22103,19653135.4344777,0
1717653600000,70895.45,71037.72,70804.0,70887.99,577.39715,1717657199999,40948574.3337872,25944,312.25803,22147981.2016599,0
1717657200000,70888.0,71069.62,70853.23,71021.47,603.86899,1717660799999,42843352.5792306,24161,302.9127,21492416.4339764,0
1717660800000,71021.46,71039.5,70862.5,70904.01,518.12755,1717664399999,36750065.5792643,24549,248.48578,17623843.249058,0
1717664400000,70904.01,71147.28,70904.0,70978.88,567.45225,1717667999999,40288080.8652509,28985,300.90365,21362499.244564,0
1717668000000,70978.89,71000.0,70892.5,70988.0,426.66814,1717671599999,30268808.8227519,29188,211.35632,14994286.2356624,0
1717671600000,70988.01,71204.59,70935.01,71170.01,798.77919,1717675199999,56779848.2287971,34973,419.51604,29819423.6216919,0
1717675200000,71170.01,71443.6,71052.97,71187.17,1387.14463,1717678799999,98798401.3374154,56701,671.3696,47821254.7237278,0
1717678800000,71187.18,71535.95,71000.0,71123.09,1918.70297,1717682399999,136752538.1513038,66146,937.55658,66829677.0093615,0
1717682400000,71123.1,71520.0,71020.57,71464.57,1587.29162,1717685999999,113101633.9729166,54203,842.87413,60068933.988175,0
1717686000000,71464.56,71700.0,71250.61,71300.0,1524.3121,1717689599999,108974135.500713,53747,801.45618,57310062.8426924,0
1717689600000,71300.0,71379.93,70825.0,70948.95,2206.4127,1717693199999,156823672.2657043,71855,930.0299,66086741.8833781,0
1717693200000,70948.95,71225.01,70800.0,71098.31,1300.39004,1717696799999,92366638.032654,49987,599.69076,42590061.9515334,0
1717696800000,71098.3,71158.87,70871.57,71075.0,591.43061,1717700399999,42005790.1455867,33381,266.21439,18906937.7754768,0
1717700400000,71075.0,71078.73,70450.0,70479.49,1416.32041,1717703999999,100195169.7803411,58109,523.56432,37034721.8705351,0
1717704000000,70479.49,70742.49,70117.64,70720.01,1649.2742,1717707599999,116198201.5274557,58175,755.36923,53230806.0695228,0
1717707600000,70720.01,70859.81,70667.0,70740.51,409.43665,1717711199999,28969806.6672156,22369,204.942,14500078.6111338,0
1717711200000,70740.51,70920.76,70664.0,70901.01,656.5042,1717714799999,46490862.9978231,24418,358.70397,25402374.2161944,0
1717714800000,70901.01,70958.89,70748.8,70799.06,603.66646,1717718399999,42766237.3563194,27234,276.70395,19601311.4941728,0
1717718400000,70799.06,70883.6,70740.0,70883.05,403.79489,1717721999999,28602283.6789643,20349,185.77089,13158341.0893943,0
1717722000000,70883.05,70900.0,70670.48,70840.01,493.06368,1717725599999,34906641.9328462,21551,221.70093,15693970.9944079,0
1717725600000,70840.0,70872.06,70663.59,70824.08,469.58357,1717729199999,33233919.9705406,22066,244.34023,17293409.5212405,0
1717729200000,70824.09,71015.2,70741.2,70989.68,456.07768,1717732799999,32336335.4700114,26609,244.63564,17345493.4269045,0
1717732800000,70989.69,71274.7,70989.68,71226.52,1041.73348,1717736399999,74139007.8331988,36612,634.8542,45181654.1556713,0
1717736400000,71226.52,71449.98,71170.0,71290.6,1688.26465,1717739999999,120368240.37575,47892,935.31545,66682663.1833846,0
1717740000000,71290.6,71353.06,71162.38,71265.7,589.45023,1717743599999,42004151.3719137,25921,285.24172,20326191.9093809,0
1717743600000,71265.7,71310.8,71068.16,71110.0,854.07909,1717747199999,60787023.851766,30435,411.29313,29273791.4729474,0
1717747200000,71110.01,71192.4,71048.12,71117.2,754.25811,1717750799999,53641355.1186749,31084,379.40017,26980919.4061758,0
1717750800000,71117.2,71307.28,71060.5,71302.07,605.73366,1717754399999,43106247.8418744,27688,299.81293,21336558.124746,0
1717754400000,71302.06,71434.86,71202.4,71377.38,577.69729,1717757999999,41201079.6464271,31590,283.95463,20252211.8118626,0
1717758000000,71377.37,71700.0,71303.4,71699.99,1238.41758,1717761599999,88578620.3283035,50186,764.14789,54668457.2451247,0
1717761600000,71700.0,71997.02,70633.21,71234.09,5660.13497,1717765199999,403705022.6225351,228143,2920.17702,208459865.0164892,0
1717765200000,71234.09,71655.04,71056.7,71534.6,1555.22338,1717768799999,110953220.3511937,64511,690.66641,49288439.5263272,0
1717768800000,71534.6,71544.06,71170.58,71430.94,991.06966,1717772399999,70739818.5101484,48301,463.49381,33078445.2519409,0
1717772400000,71430.93,71430.93,70850.0,71111.54,1650.05125,1717775999999,117330008.5223197,59869,809.66803,57567498.4823616,0
1717776000000,71111.55,71208.89,70779.0,70873.47,1125.96101,1717779599999,79943957.8027209,56232,522.8021,37115921.8184246,0
1717779600000,70873.48,70873.48,69800.37,69803.59,2585.76468,1717783199999,181933716.03252873,128415,1045.67503,73580952.2094525,0
1717783200000,69803.59,69887.99,68420.0,69154.43,8271.3392,1717786799999,572327598.761812,369398,3653.45182,252818400.8946034,0
1717786800000,69154.44,69448.0,68800.0,69255.0,1934.14143,1717790399999,133703718.5384962,75451,965.51194,66736810.0940273,0
1717790400000,69255.01,69318.3,68978.52,69307.99,1132.53115,1717793999999,78292082.113036,40909,579.43473,40055923.1931097,0
1717794000000,69308.0,69377.85,69203.08,69250.01,496.62495,1717797599999,34410070.1563915,25127,236.19065,16364381.9397904,0
1717797600000,69250.01,69585.96,69184.0,69499.0,583.30376,1717801199999,40467624.3655237,26405,342.22366,23743320.9056968,0
1717801200000,69499.0,69499.0,69323.54,69355.6,440.1511,1717804799999,30538846.1360015,21671,199.0175,13807298.670969,0
1717804800000,69355.6,69482.75,69296.41,69401.5,575.16895,1717808399999,39907410.6371537,29612,265.83035,18444707.0175445,0
1717808400000,69401.5,69475.04,69287.28,69465.25,531.15697,1717811999999,36863570.8866796,29931,286.43114,19879208.1515872,0
1717812000000,69465.24,69465.25,69387.6,69422.11,300.25806,1717815599999,20844503.703891,21181,148.12161,10282558.481644,0
1717815600000,69422.11,69525.0,69411.3,69432.0,385.05909,1717819199999,26751856.8707439,23419,221.27178,15372196.2819069,0
1717819200000,69432.0,69466.92,69277.96,69316.73,426.11437,1717822799999,29557581.4197826,25988,213.92245,14838616.8905383,0
1717822800000,69316.74,69342.79,69232.15,69319.99,353.35561,1717826399999,24482185.486537,22890,181.94893,12606265.6752821,0
1717826400000,69320.0,69414.89,69296.26,69333.45,401.708,1717829999999,27859228.9593442,26423,204.41561,14176821.409455,0
